episode_id,t_step,event_type,phase,risk_before,risk_after,world_x,world_y,world_z,resolved_by,resume_success
drawer-lighting-s1-openvla-ep004,8,resume,close_drawer,0.191734,0.191734,0.197377,-0.193205,0.161388,policy,True
drawer-lighting-s1-octo-ep000,0,pause,open_drawer,0.494598,0.374598,0.353315,-0.094362,0.357341,reobserve,True
drawer-lighting-s1-octo-ep001,0,pause,open_drawer,0.491429,0.371429,0.053858,0.14425,0.349279,reobserve,True
drawer-lighting-s1-octo-ep001,1,fallback,grasp_block,0.535552,0.226232,0.067371,0.028793,0.35631,fallback_planner,True
drawer-lighting-s1-octo-ep001,2,pause,grasp_block,0.480837,0.360837,0.47039,-0.082378,0.288383,reobserve,True
drawer-lighting-s1-octo-ep002,0,pause,open_drawer,0.492374,0.372374,-0.361569,0.216912,0.347882,reobserve,True
drawer-lighting-s1-octo-ep003,0,fallback,open_drawer,0.505521,0.194201,0.219982,0.033064,0.362153,fallback_planner,True
drawer-lighting-s1-octo-ep003,1,pause,grasp_block,0.464587,0.344587,0.403096,0.159884,0.359483,reobserve,True
drawer-lighting-s1-octo-ep004,0,pause,open_drawer,0.4973,0.3773,-0.190679,-0.429212,0.354394,reobserve,True
drawer-lighting-s2-openvla-ep000,0,fallback,open_drawer,0.692959,0.386119,-0.038209,0.407001,0.379589,fallback_planner,True
drawer-lighting-s2-openvla-ep000,1,fallback,open_drawer,0.653322,0.346482,0.010956,-0.115256,0.342106,fallback_planner,True
drawer-lighting-s2-openvla-ep000,2,fallback,grasp_block,0.609178,0.302338,-0.058816,0.51485,0.333051,fallback_planner,True
drawer-lighting-s2-openvla-ep000,3,fallback,grasp_block,0.611595,0.304755,-0.380488,0.503516,0.33446,fallback_planner,True
drawer-lighting-s2-openvla-ep000,4,fallback,grasp_block,0.574719,0.267879,0.362771,0.0066,0.28069,fallback_planner,True
drawer-lighting-s2-openvla-ep000,5,fallback,place_in_bin,0.536961,0.230121,-0.355734,0.379775,0.251025,fallback_planner,True
drawer-lighting-s2-openvla-ep000,6,fallback,place_in_bin,0.579274,0.274434,-0.007942,0.240871,0.251663,fallback_planner,True
drawer-lighting-s2-openvla-ep000,7,fallback,close_drawer,0.508822,0.203982,-0.430077,0.313529,0.190154,fallback_planner,True
drawer-lighting-s2-openvla-ep000,8,fallback,close_drawer,0.502492,0.197652,-0.109373,0.06133,0.137934,fallback_planner,True
drawer-lighting-s2-openvla-ep000,9,pause,close_drawer,0.431825,0.311825,-0.128431,-0.171103,0.160827,reobserve,True
drawer-lighting-s2-openvla-ep001,0,fallback,open_drawer,0.696382,0.389542,-0.250205,0.005918,0.398165,fallback_planner,True
drawer-lighting-s2-openvla-ep001,1,fallback,open_drawer,0.646255,0.339415,-0.545508,0.392426,0.338465,fallback_planner,True
drawer-lighting-s2-openvla-ep001,2,fallback,grasp_block,0.620149,0.313309,-0.295707,0.264362,0.330745,fallback_planner,True
drawer-lighting-s2-openvla-ep001,3,fallback,grasp_block,0.618249,0.311409,-0.071854,0.083436,0.280831,fallback_planner,True
drawer-lighting-s2-openvla-ep001,4,fallback,grasp_block,0.57359,0.26675,-0.225814,0.272868,0.302029,fallback_planner,True
drawer-lighting-s2-openvla-ep001,5,fallback,place_in_bin,0.543673,0.236833,0.137114,-0.345463,0.279263,fallback_planner,True
drawer-lighting-s2-openvla-ep001,6,pause,place_in_bin,0.496548,0.376548,0.507382,-0.062177,0.229404,reobserve,True
drawer-lighting-s2-openvla-ep001,7,fallback,close_drawer,0.540667,0.235827,-0.422892,-0.251003,0.184023,fallback_planner,True
drawer-lighting-s2-openvla-ep001,8,fallback,close_drawer,0.505673,0.200833,0.002892,-0.334763,0.1556,fallback_planner,True
drawer-lighting-s2-openvla-ep001,9,pause,close_drawer,0.469429,0.349429,-0.150341,-0.367539,0.117452,reobserve,True
drawer-lighting-s2-openvla-ep002,0,fallback,open_drawer,0.692965,0.386125,-0.057295,0.34234,0.404601,fallback_planner,True
drawer-lighting-s2-openvla-ep002,1,fallback,open_drawer,0.653862,0.347022,-0.298428,0.38614,0.355325,fallback_planner,True
drawer-lighting-s2-openvla-ep002,2,fallback,grasp_block,0.613018,0.306178,0.081381,0.517693,0.35537,fallback_planner,True
drawer-lighting-s2-openvla-ep002,3,fallback,grasp_block,0.615166,0.308326,-0.387067,0.330052,0.295771,fallback_planner,True
drawer-lighting-s2-openvla-ep002,4,fallback,grasp_block,0.578357,0.271517,-0.03156,0.376947,0.298562,fallback_planner,True
drawer-lighting-s2-openvla-ep002,5,fallback,place_in_bin,0.535229,0.228389,0.199135,0.190102,0.286316,fallback_planner,True
drawer-lighting-s2-openvla-ep002,6,fallback,place_in_bin,0.505352,0.198512,0.363507,0.366626,0.209412,fallback_planner,True
drawer-lighting-s2-openvla-ep002,7,fallback,close_drawer,0.542645,0.237805,-0.272968,-0.262695,0.213692,fallback_planner,True
drawer-lighting-s2-openvla-ep002,8,pause,close_drawer,0.463836,0.343836,0.289094,0.025835,0.143959,reobserve,True
drawer-lighting-s2-openvla-ep003,0,fallback,open_drawer,0.694588,0.387748,-0.041385,0.110652,0.408234,fallback_planner,True
drawer-lighting-s2-openvla-ep003,1,fallback,open_drawer,0.654044,0.347204,-0.318414,0.219199,0.379633,fallback_planner,True
drawer-lighting-s2-openvla-ep003,2,fallback,grasp_block,0.617561,0.310721,-0.04805,-0.101531,0.321746,fallback_planner,True
drawer-lighting-s2-openvla-ep003,3,fallback,grasp_block,0.610909,0.304069,-0.226016,0.071738,0.332967,fallback_planner,True
drawer-lighting-s2-openvla-ep003,4,fallback,grasp_block,0.581693,0.274853,-0.102654,-0.085994,0.283459,fallback_planner,True
drawer-lighting-s2-openvla-ep003,5,fallback,place_in_bin,0.534992,0.228152,-0.449761,0.254597,0.267134,fallback_planner,True
drawer-lighting-s2-openvla-ep003,6,pause,place_in_bin,0.49864,0.37864,0.22806,-0.231515,0.222692,reobserve,True
drawer-lighting-s2-openvla-ep003,7,fallback,place_in_bin,0.502022,0.195182,-0.158311,0.513452,0.197979,fallback_planner,True
drawer-lighting-s2-openvla-ep003,8,pause,close_drawer,0.463297,0.343297,-0.150105,0.385765,0.223323,reobserve,True
drawer-lighting-s2-openvla-ep004,0,fallback,open_drawer,0.692168,0.385328,0.327899,-0.046697,0.396468,fallback_planner,True
drawer-lighting-s2-openvla-ep004,1,fallback,open_drawer,0.656111,0.349271,-0.262207,0.166438,0.329327,fallback_planner,True
drawer-lighting-s2-openvla-ep004,2,fallback,grasp_block,0.611637,0.304797,-0.519691,-0.170714,0.353908,fallback_planner,True
drawer-lighting-s2-openvla-ep004,3,fallback,grasp_block,0.609921,0.303081,0.423578,0.231372,0.296762,fallback_planner,True
drawer-lighting-s2-openvla-ep004,4,fallback,grasp_block,0.580618,0.273778,-0.012698,0.368467,0.299864,fallback_planner,True
drawer-lighting-s2-openvla-ep004,5,fallback,place_in_bin,0.543098,0.236258,0.487548,-0.362988,0.273202,fallback_planner,True
drawer-lighting-s2-openvla-ep004,6,fallback,place_in_bin,0.533697,0.226857,0.166093,-0.320557,0.21087,fallback_planner,True
drawer-lighting-s2-openvla-ep004,7,fallback,close_drawer,0.531521,0.226681,0.01102,-0.262172,0.22427,fallback_planner,True
drawer-lighting-s2-openvla-ep004,8,pause,close_drawer,0.495876,0.375876,-0.118622,0.370136,0.149714,reobserve,True
drawer-lighting-s2-octo-ep000,0,fallback,open_drawer,0.754487,0.447647,0.186621,-0.131313,0.39379,fallback_planner,True
drawer-lighting-s2-octo-ep000,1,fallback,open_drawer,0.740977,0.434137,-0.086846,0.198909,0.342574,fallback_planner,True
drawer-lighting-s2-octo-ep000,2,fallback,open_drawer,0.71902,0.41218,0.037789,0.021925,0.333853,fallback_planner,True
drawer-lighting-s2-octo-ep000,3,fallback,grasp_block,0.692794,0.385954,-0.279348,-0.056494,0.287732,fallback_planner,True
drawer-lighting-s2-octo-ep000,4,fallback,grasp_block,0.642853,0.336013,0.142205,0.06344,0.311842,fallback_planner,True
drawer-lighting-s2-octo-ep000,5,fallback,place_in_bin,0.628526,0.321686,-0.009464,0.415748,0.2751,fallback_planner,True
drawer-lighting-s2-octo-ep000,6,fallback,place_in_bin,0.601512,0.294672,0.152654,-0.28797,0.251039,fallback_planner,True
drawer-lighting-s2-octo-ep000,7,fallback,close_drawer,0.568946,0.262106,0.079308,0.164999,0.227074,fallback_planner,True
drawer-lighting-s2-octo-ep000,8,fallback,close_drawer,0.537442,0.230602,-0.22803,0.480703,0.199086,fallback_planner,True
drawer-lighting-s2-octo-ep000,9,fallback,close_drawer,0.500671,0.193831,0.258809,0.07484,0.165364,fallback_planner,True
drawer-lighting-s2-octo-ep001,0,fallback,open_drawer,0.770862,0.464022,-0.183517,0.200994,0.389091,fallback_planner,True
drawer-lighting-s2-octo-ep001,1,fallback,open_drawer,0.737261,0.430421,0.096733,0.358751,0.338519,fallback_planner,True
drawer-lighting-s2-octo-ep001,2,fallback,grasp_block,0.700101,0.393261,0.267573,0.323576,0.306658,fallback_planner,True
drawer-lighting-s2-octo-ep001,3,fallback,grasp_block,0.685026,0.378186,0.131408,-0.296116,0.308634,fallback_planner,True
drawer-lighting-s2-octo-ep001,4,fallback,grasp_block,0.64869,0.34185,0.055545,0.276595,0.286788,fallback_planner,True
drawer-lighting-s2-octo-ep001,5,fallback,place_in_bin,0.632828,0.325988,-0.411062,-0.156942,0.239898,fallback_planner,True
drawer-lighting-s2-octo-ep001,6,fallback,place_in_bin,0.608446,0.301606,0.33954,0.12672,0.248454,fallback_planner,True
drawer-lighting-s2-octo-ep001,7,fallback,close_drawer,0.547853,0.241013,0.14701,-0.125436,0.206902,fallback_planner,True
drawer-lighting-s2-octo-ep001,8,fallback,close_drawer,0.519576,0.212736,0.271905,0.12635,0.192457,fallback_planner,True
drawer-lighting-s2-octo-ep001,9,pause,close_drawer,0.475313,0.355313,-0.385485,0.403419,0.138244,reobserve,True
drawer-lighting-s2-octo-ep002,0,fallback,open_drawer,0.769129,0.462289,0.266099,0.406208,0.38752,fallback_planner,True
drawer-lighting-s2-octo-ep002,1,fallback,open_drawer,0.736242,0.429402,-0.559512,0.471567,0.354829,fallback_planner,True
drawer-lighting-s2-octo-ep002,2,fallback,open_drawer,0.70976,0.40292,0.011867,0.163797,0.354905,fallback_planner,True
drawer-lighting-s2-octo-ep002,3,fallback,grasp_block,0.762121,0.457281,0.268443,0.300598,0.32115,fallback_planner,True
drawer-lighting-s2-octo-ep002,4,fallback,grasp_block,0.734726,0.429886,0.10744,-0.342488,0.304112,fallback_planner,True
drawer-lighting-s2-octo-ep002,5,fallback,grasp_block,0.700559,0.395719,0.011672,-0.251763,0.283187,fallback_planner,True
drawer-lighting-s2-octo-ep002,6,fallback,place_in_bin,0.688066,0.383226,-0.002858,-0.066764,0.24972,fallback_planner,True
drawer-lighting-s2-octo-ep002,7,fallback,place_in_bin,0.677495,0.372655,0.397701,-0.258714,0.234339,fallback_planner,True
drawer-lighting-s2-octo-ep002,8,fallback,close_drawer,0.626629,0.321789,-0.170486,-0.017026,0.16459,fallback_planner,True
drawer-lighting-s2-octo-ep002,9,fallback,close_drawer,0.580606,0.275766,0.07527,0.422942,0.163815,fallback_planner,True
drawer-lighting-s2-octo-ep002,10,fallback,close_drawer,0.537865,0.233025,0.008255,0.480119,0.109777,fallback_planner,True
drawer-lighting-s2-octo-ep003,0,fallback,open_drawer,0.761703,0.454863,-0.087539,-0.327312,0.368135,fallback_planner,True
drawer-lighting-s2-octo-ep003,1,fallback,open_drawer,0.738094,0.431254,-0.172254,0.162683,0.360888,fallback_planner,True
drawer-lighting-s2-octo-ep003,2,fallback,grasp_block,0.703888,0.397048,0.124061,-0.29386,0.342264,fallback_planner,True
drawer-lighting-s2-octo-ep003,3,fallback,grasp_block,0.755032,0.450192,-0.433282,0.03708,0.321275,fallback_planner,True
drawer-lighting-s2-octo-ep003,4,fallback,grasp_block,0.727288,0.422448,0.036722,0.110484,0.319767,fallback_planner,True
drawer-lighting-s2-octo-ep003,5,fallback,grasp_block,0.722753,0.417913,-0.208827,0.365243,0.247807,fallback_planner,True
drawer-lighting-s2-octo-ep003,6,fallback,place_in_bin,0.688824,0.383984,-0.04482,0.342018,0.230562,fallback_planner,True
drawer-lighting-s2-octo-ep003,7,fallback,place_in_bin,0.66313,0.35829,-0.325057,0.019823,0.211634,fallback_planner,True
drawer-lighting-s2-octo-ep003,8,fallback,close_drawer,0.607681,0.302841,0.482706,0.344196,0.171253,fallback_planner,True
drawer-lighting-s2-octo-ep003,9,fallback,close_drawer,0.578463,0.273623,0.173515,0.406582,0.166767,fallback_planner,True
drawer-lighting-s2-octo-ep003,10,fallback,close_drawer,0.525941,0.221101,0.389191,-0.27802,0.110799,fallback_planner,True
drawer-lighting-s2-octo-ep004,0,fallback,open_drawer,0.758676,0.451836,-0.221595,0.001155,0.360943,fallback_planner,True
drawer-lighting-s2-octo-ep004,1,fallback,open_drawer,0.735884,0.429044,-0.348007,0.356149,0.348125,fallback_planner,True
drawer-lighting-s2-octo-ep004,2,fallback,open_drawer,0.717637,0.410797,0.055515,-0.302456,0.347669,fallback_planner,True
drawer-lighting-s2-octo-ep004,3,fallback,grasp_block,0.691064,0.384224,0.34109,-0.001971,0.321688,fallback_planner,True
drawer-lighting-s2-octo-ep004,4,fallback,grasp_block,0.666401,0.359561,-0.083602,-0.343381,0.301024,fallback_planner,True
drawer-lighting-s2-octo-ep004,5,fallback,place_in_bin,0.649122,0.342282,0.177585,0.122615,0.291066,fallback_planner,True
drawer-lighting-s2-octo-ep004,6,fallback,place_in_bin,0.627234,0.320394,0.522085,0.392863,0.243191,fallback_planner,True
drawer-lighting-s2-octo-ep004,7,fallback,close_drawer,0.570439,0.263599,0.312506,0.495478,0.224339,fallback_planner,True
drawer-lighting-s2-octo-ep004,8,fallback,close_drawer,0.513644,0.206804,0.299266,0.387592,0.174661,fallback_planner,True
drawer-lighting-s2-octo-ep004,9,pause,close_drawer,0.482609,0.362609,-0.365462,-0.039973,0.125155,reobserve,True
drawer-texture-s0-octo-ep000,0,pause,open_drawer,0.300181,0.180181,-0.235029,0.037541,0.361015,reobserve,True
drawer-texture-s0-octo-ep000,4,resume,place_in_bin,0.189769,0.189769,-0.137637,0.164946,0.237749,policy,True
drawer-texture-s0-octo-ep001,0,pause,open_drawer,0.297924,0.177924,-0.473302,0.195584,0.37456,reobserve,True
drawer-texture-s0-octo-ep001,4,resume,place_in_bin,0.188423,0.188423,0.309748,-0.036379,0.214806,policy,True
drawer-texture-s0-octo-ep002,0,pause,open_drawer,0.293838,0.173838,0.422416,0.191459,0.371793,reobserve,True
drawer-texture-s0-octo-ep002,4,resume,place_in_bin,0.18671,0.18671,0.245905,-0.187853,0.216879,policy,True
drawer-texture-s0-octo-ep003,0,pause,open_drawer,0.299089,0.179089,0.151723,-0.264904,0.374699,reobserve,True
drawer-texture-s0-octo-ep003,4,resume,place_in_bin,0.188038,0.188038,0.076631,-0.355257,0.217475,policy,True
drawer-texture-s0-octo-ep004,0,pause,open_drawer,0.290246,0.170246,-0.150051,-0.254117,0.349668,reobserve,True
drawer-texture-s0-octo-ep004,4,resume,place_in_bin,0.183415,0.183415,0.356668,0.114946,0.258828,policy,True
drawer-texture-s1-openvla-ep000,0,pause,open_drawer,0.395235,0.275235,0.036586,-0.426015,0.350835,reobserve,True
drawer-texture-s1-openvla-ep001,0,pause,open_drawer,0.396066,0.276066,-0.411927,-0.410326,0.362383,reobserve,True
drawer-texture-s1-openvla-ep002,0,pause,open_drawer,0.401585,0.281585,-0.422057,-0.257857,0.372514,reobserve,True
drawer-texture-s1-openvla-ep003,0,pause,open_drawer,0.397419,0.277419,-0.230251,0.06867,0.385291,reobserve,True
drawer-texture-s1-openvla-ep004,0,pause,open_drawer,0.39764,0.27764,-0.392166,0.154151,0.355405,reobserve,True
drawer-texture-s1-octo-ep000,0,fallback,open_drawer,0.528196,0.216956,0.306604,-0.152135,0.383151,fallback_planner,True
drawer-texture-s1-octo-ep000,1,pause,open_drawer,0.473412,0.353412,0.057418,-0.044729,0.35886,reobserve,True
drawer-texture-s1-octo-ep001,0,fallback,open_drawer,0.525879,0.214639,0.215249,0.311207,0.347088,fallback_planner,True
drawer-texture-s1-octo-ep001,1,pause,grasp_block,0.479932,0.359932,-0.384274,-0.288224,0.317438,reobserve,True
drawer-texture-s1-octo-ep002,0,fallback,open_drawer,0.525772,0.214532,-0.094309,0.330303,0.379053,fallback_planner,True
drawer-texture-s1-octo-ep002,1,pause,grasp_block,0.488267,0.368267,0.061476,-0.411833,0.312553,reobserve,True
drawer-texture-s1-octo-ep003,0,fallback,open_drawer,0.526469,0.215229,-0.317085,0.238249,0.341299,fallback_planner,True
drawer-texture-s1-octo-ep003,1,pause,open_drawer,0.462953,0.342953,-0.202259,-0.245985,0.326935,reobserve,True
drawer-texture-s1-octo-ep004,0,fallback,open_drawer,0.523141,0.211901,-0.213566,0.298249,0.360463,fallback_planner,True
drawer-texture-s1-octo-ep004,1,fallback,open_drawer,0.551237,0.241997,-0.376127,0.352055,0.34509,fallback_planner,True
drawer-texture-s1-octo-ep004,2,fallback,grasp_block,0.514248,0.205008,0.154153,0.363221,0.33019,fallback_planner,True
drawer-texture-s1-octo-ep004,3,pause,grasp_block,0.472468,0.352468,-0.208176,-0.409651,0.279228,reobserve,True
drawer-texture-s2-openvla-ep000,0,fallback,open_drawer,0.695831,0.389071,0.174845,0.425448,0.369038,fallback_planner,True
drawer-texture-s2-openvla-ep000,1,fallback,open_drawer,0.657791,0.351031,-0.384171,-0.018784,0.335356,fallback_planner,True
drawer-texture-s2-openvla-ep000,2,fallback,grasp_block,0.618184,0.311424,-0.461194,0.077677,0.298945,fallback_planner,True
drawer-texture-s2-openvla-ep000,3,fallback,grasp_block,0.61605,0.30929,-0.359162,-0.038113,0.332361,fallback_planner,True
drawer-texture-s2-openvla-ep000,4,fallback,grasp_block,0.579072,0.272312,-0.473044,0.327212,0.27541,fallback_planner,True
drawer-texture-s2-openvla-ep000,5,fallback,place_in_bin,0.540192,0.233432,-0.232882,-0.030937,0.264634,fallback_planner,True
drawer-texture-s2-openvla-ep000,6,fallback,place_in_bin,0.505673,0.198913,0.264593,0.001509,0.214067,fallback_planner,True
drawer-texture-s2-openvla-ep000,7,pause,close_drawer,0.469011,0.349011,-0.1889,0.05636,0.232023,reobserve,True
drawer-texture-s2-openvla-ep001,0,fallback,open_drawer,0.692373,0.385613,-0.287498,-0.186095,0.391181,fallback_planner,True
drawer-texture-s2-openvla-ep001,1,fallback,open_drawer,0.654518,0.347758,-0.394016,-0.33629,0.348233,fallback_planner,True
drawer-texture-s2-openvla-ep001,2,fallback,grasp_block,0.62146,0.3147,-0.013833,-0.29981,0.318219,fallback_planner,True
drawer-texture-s2-openvla-ep001,3,fallback,grasp_block,0.615611,0.308851,0.265426,-0.333757,0.319181,fallback_planner,True
drawer-texture-s2-openvla-ep001,4,fallback,grasp_block,0.582286,0.275526,-0.383576,-0.06054,0.268738,fallback_planner,True
drawer-texture-s2-openvla-ep001,5,fallback,place_in_bin,0.539422,0.232662,0.211898,0.182952,0.241131,fallback_planner,True
drawer-texture-s2-openvla-ep001,6,fallback,place_in_bin,0.534707,0.227947,-0.315493,0.135335,0.237666,fallback_planner,True
drawer-texture-s2-openvla-ep001,7,pause,place_in_bin,0.459125,0.339125,0.492792,0.043749,0.198693,reobserve,True
drawer-texture-s2-openvla-ep001,10,fallback,close_drawer,0.504227,0.199467,-0.052688,-0.257297,0.159561,fallback_planner,True
drawer-texture-s2-openvla-ep002,0,fallback,open_drawer,0.687185,0.380425,-0.333596,0.474671,0.375422,fallback_planner,True
drawer-texture-s2-openvla-ep002,1,fallback,open_drawer,0.653456,0.346696,-0.045628,0.272366,0.365255,fallback_planner,True
drawer-texture-s2-openvla-ep002,2,fallback,grasp_block,0.619635,0.312875,0.446232,0.238347,0.310544,fallback_planner,True
drawer-texture-s2-openvla-ep002,3,fallback,grasp_block,0.614829,0.308069,0.123661,0.077592,0.309583,fallback_planner,True
drawer-texture-s2-openvla-ep002,4,fallback,grasp_block,0.582269,0.275509,0.289777,0.346315,0.262485,fallback_planner,True
drawer-texture-s2-openvla-ep002,5,fallback,place_in_bin,0.531677,0.224917,-0.016231,0.298399,0.272587,fallback_planner,True
drawer-texture-s2-openvla-ep002,6,pause,place_in_bin,0.498652,0.378652,-0.398436,0.17242,0.236787,reobserve,True
drawer-texture-s2-openvla-ep002,7,fallback,close_drawer,0.504241,0.197481,0.315428,0.520257,0.210153,fallback_planner,True
drawer-texture-s2-openvla-ep002,8,pause,close_drawer,0.46878,0.34878,-0.158298,-0.284952,0.162961,reobserve,True
drawer-texture-s2-openvla-ep003,0,fallback,open_drawer,0.705326,0.398566,-0.0608,0.083624,0.396591,fallback_planner,True
drawer-texture-s2-openvla-ep003,1,fallback,open_drawer,0.656923,0.350163,-0.551385,0.195066,0.375418,fallback_planner,True
drawer-texture-s2-openvla-ep003,2,fallback,grasp_block,0.614757,0.307997,0.15306,-0.056565,0.321139,fallback_planner,True
drawer-texture-s2-openvla-ep003,3,fallback,grasp_block,0.61711,0.31035,-0.08411,0.231288,0.287544,fallback_planner,True
drawer-texture-s2-openvla-ep003,4,fallback,grasp_block,0.654772,0.350012,0.349056,0.265295,0.290994,fallback_planner,True
drawer-texture-s2-openvla-ep003,5,fallback,place_in_bin,0.613086,0.308326,0.17081,0.482081,0.285682,fallback_planner,True
drawer-texture-s2-openvla-ep003,6,fallback,place_in_bin,0.581058,0.276298,0.248994,0.41552,0.234108,fallback_planner,True
drawer-texture-s2-openvla-ep003,7,fallback,close_drawer,0.543381,0.238621,0.02726,0.49017,0.19993,fallback_planner,True
drawer-texture-s2-openvla-ep003,8,fallback,close_drawer,0.502266,0.197506,0.186157,0.101162,0.160685,fallback_planner,True
drawer-texture-s2-openvla-ep003,9,pause,close_drawer,0.465754,0.345754,0.36129,0.42178,0.136721,reobserve,True
drawer-texture-s2-openvla-ep004,0,fallback,open_drawer,0.691742,0.384982,-0.265252,0.149418,0.379826,fallback_planner,True
drawer-texture-s2-openvla-ep004,1,fallback,open_drawer,0.653659,0.346899,-0.069054,0.388565,0.332369,fallback_planner,True
drawer-texture-s2-openvla-ep004,2,fallback,grasp_block,0.620818,0.314058,0.252644,0.484205,0.311717,fallback_planner,True
drawer-texture-s2-openvla-ep004,3,fallback,grasp_block,0.617792,0.311032,-0.358449,-0.289652,0.314044,fallback_planner,True
drawer-texture-s2-openvla-ep004,4,fallback,grasp_block,0.577403,0.270643,-0.095749,0.288789,0.270104,fallback_planner,True
drawer-texture-s2-openvla-ep004,5,fallback,place_in_bin,0.542844,0.236084,-0.162919,-0.314745,0.278684,fallback_planner,True
drawer-texture-s2-openvla-ep004,6,fallback,place_in_bin,0.539029,0.232269,0.371938,0.52265,0.223045,fallback_planner,True
drawer-texture-s2-openvla-ep004,7,pause,place_in_bin,0.459251,0.339251,0.355464,0.220012,0.229222,reobserve,True
drawer-texture-s2-octo-ep000,0,fallback,open_drawer,0.774067,0.467307,-0.117046,0.327471,0.408824,fallback_planner,True
drawer-texture-s2-octo-ep000,1,fallback,open_drawer,0.760065,0.453305,-0.05015,-0.176256,0.339609,fallback_planner,True
drawer-texture-s2-octo-ep000,2,fallback,open_drawer,0.724084,0.417324,-0.022638,0.132179,0.311821,fallback_planner,True
drawer-texture-s2-octo-ep000,3,fallback,grasp_block,0.697098,0.390338,-0.357858,-0.053547,0.315749,fallback_planner,True
drawer-texture-s2-octo-ep000,4,fallback,grasp_block,0.675046,0.368286,0.183231,-0.308293,0.318797,fallback_planner,True
drawer-texture-s2-octo-ep000,5,fallback,grasp_block,0.652424,0.345664,0.107085,0.157075,0.280516,fallback_planner,True
drawer-texture-s2-octo-ep000,6,fallback,place_in_bin,0.694827,0.390067,0.222342,-0.160545,0.229305,fallback_planner,True
drawer-texture-s2-octo-ep000,7,fallback,place_in_bin,0.691742,0.386982,0.134683,-0.095455,0.216459,fallback_planner,True
drawer-texture-s2-octo-ep000,8,fallback,close_drawer,0.622409,0.317649,-0.086699,0.239454,0.220145,fallback_planner,True
drawer-texture-s2-octo-ep000,9,fallback,close_drawer,0.60193,0.29717,-0.038544,0.460874,0.160348,fallback_planner,True
drawer-texture-s2-octo-ep000,10,fallback,close_drawer,0.546725,0.241965,-0.218525,0.142239,0.16019,fallback_planner,True
drawer-texture-s2-octo-ep001,0,fallback,open_drawer,0.769097,0.462337,-0.14843,0.109426,0.372094,fallback_planner,True
drawer-texture-s2-octo-ep001,1,fallback,open_drawer,0.757606,0.450846,-0.339037,-0.216156,0.33348,fallback_planner,True
drawer-texture-s2-octo-ep001,2,fallback,open_drawer,0.79729,0.49253,-0.446288,-0.161429,0.315574,fallback_planner,True
drawer-texture-s2-octo-ep001,3,fallback,grasp_block,0.767552,0.462792,-0.062937,0.220433,0.312135,fallback_planner,True
drawer-texture-s2-octo-ep001,4,fallback,grasp_block,0.749588,0.444828,0.142099,-0.330624,0.328755,fallback_planner,True
drawer-texture-s2-octo-ep001,5,fallback,grasp_block,0.731051,0.426291,-0.366643,0.362855,0.297517,fallback_planner,True
drawer-texture-s2-octo-ep001,6,fallback,place_in_bin,0.784757,0.481997,-0.181537,0.064767,0.276931,fallback_planner,True
drawer-texture-s2-octo-ep001,7,fallback,place_in_bin,0.758412,0.455652,0.494988,0.333409,0.252095,fallback_planner,True
drawer-texture-s2-octo-ep001,8,fallback,close_drawer,0.720965,0.418205,0.532362,-0.091603,0.208079,fallback_planner,True
