episode_id,t_step,phase,ee_pose,joint_positions,raw_policy_confidence,raw_uncertainty,uncertainty_entropy,uncertainty_variance,calibrated_success_prob,calibrated_failure_risk,gating_state,action_vector,observation_frame_path
drawer-lighting-s0-openvla-ep002,0,open_drawer,"[0.3861,0.3177,0.1128]","[ 0.3861, 0.3177, 0.1128,-0.0044,-0.0157, 0.2176, 0.1766]",0.975528,0.11825,0.114966,0.003284,0.86327,0.195855,proceed,"[ 0.3861, 0.3177, 0.1128,-0.0044,-0.0157, 0.2176, 0.1766]",
drawer-lighting-s0-openvla-ep002,1,grasp_block,"[0.4371,0.2902,0.2451]","[ 0.4371, 0.2902, 0.2451, 0.082 ,-0.0025, 0.1856, 0.1822]",0.979374,0.103018,0.100462,0.002556,0.87327,0.178239,proceed,"[ 0.4371, 0.2902, 0.2451, 0.082 ,-0.0025, 0.1856, 0.1822]",
drawer-lighting-s0-openvla-ep002,2,grasp_block,"[0.1472,0.0926,0.0691]","[0.1472,0.0926,0.0691,0.1112,0.1205,0.052 ,0.1452]",0.985043,0.081981,0.077702,0.00428,0.890294,0.150697,proceed,"[0.1472,0.0926,0.0691,0.1112,0.1205,0.052 ,0.1452]",
drawer-lighting-s0-openvla-ep002,3,place_in_bin,"[0.2307,0.0079,0.1065]","[0.2307,0.0079,0.1065,0.1585,0.0498,0.0445,0.1447]",0.987789,0.068246,0.065929,0.002317,0.899941,0.134182,proceed,"[0.2307,0.0079,0.1065,0.1585,0.0498,0.0445,0.1447]",
drawer-lighting-s0-openvla-ep002,4,place_in_bin,"[-0.0897,-0.2462, 0.1138]","[-0.0897,-0.2462, 0.1138, 0.236 , 0.2062,-0.0639, 0.1766]",0.989902,0.059185,0.05645,0.002736,0.908265,0.121328,proceed,"[-0.0897,-0.2462, 0.1138, 0.236 , 0.2062,-0.0639, 0.1766]",
drawer-lighting-s0-openvla-ep002,5,close_drawer,"[-0.0789,-0.316 , 0.1291]","[-0.0789,-0.316 , 0.1291, 0.237 , 0.1521,-0.1133, 0.1867]",0.99151,0.051529,0.048941,0.002587,0.915301,0.110463,proceed,"[-0.0789,-0.316 , 0.1291, 0.237 , 0.1521,-0.1133, 0.1867]",
drawer-lighting-s0-openvla-ep002,6,close_drawer,"[-0.4512,-0.4438, 0.1164]","[-0.4512,-0.4438, 0.1164, 0.2506, 0.3574,-0.1675, 0.0999]",0.992878,0.044845,0.042309,0.002536,0.92192,0.100502,proceed,"[-0.4512,-0.4438, 0.1164, 0.2506, 0.3574,-0.1675, 0.0999]",
drawer-lighting-s0-openvla-ep002,7,close_drawer,"[-0.3529,-0.4891, 0.175 ]","[-0.3529,-0.4891, 0.175 , 0.3341, 0.2709,-0.1998, 0.2509]",0.993787,0.04078,0.03776,0.00302,0.926726,0.093664,proceed,"[-0.3529,-0.4891, 0.175 , 0.3341, 0.2709,-0.1998, 0.2509]",
drawer-lighting-s0-openvla-ep003,0,open_drawer,"[0.413 ,0.3211,0.1448]","[0.413 ,0.3211,0.1448,0.0118,0.0209,0.2583,0.2031]",0.976094,0.114811,0.112873,0.001938,0.864679,0.192727,proceed,"[0.413 ,0.3211,0.1448,0.0118,0.0209,0.2583,0.2031]",
drawer-lighting-s0-openvla-ep003,1,grasp_block,"[0.4504,0.2764,0.2117]","[ 0.4504, 0.2764, 0.2117, 0.0885,-0.026 , 0.152 , 0.1893]",0.980155,0.100215,0.097433,0.002782,0.875433,0.174674,proceed,"[ 0.4504, 0.2764, 0.2117, 0.0885,-0.026 , 0.152 , 0.1893]",
drawer-lighting-s0-openvla-ep003,2,grasp_block,"[0.0987,0.0762,0.1406]","[0.0987,0.0762,0.1406,0.1436,0.1395,0.073 ,0.124 ]",0.985601,0.078183,0.075354,0.002829,0.892164,0.146927,proceed,"[0.0987,0.0762,0.1406,0.1436,0.1395,0.073 ,0.124 ]",
drawer-lighting-s0-openvla-ep003,3,place_in_bin,"[0.1935,0.0139,0.132 ]","[0.1935,0.0139,0.132 ,0.1902,0.0803,0.008 ,0.1679]",0.988103,0.067193,0.064547,0.002646,0.90112,0.132476,proceed,"[0.1935,0.0139,0.132 ,0.1902,0.0803,0.008 ,0.1679]",
drawer-lighting-s0-openvla-ep003,4,place_in_bin,"[-0.0938,-0.2235, 0.0912]","[-0.0938,-0.2235, 0.0912, 0.2397, 0.2388,-0.0709, 0.153 ]",0.989716,0.059815,0.057299,0.002517,0.907496,0.122412,proceed,"[-0.0938,-0.2235, 0.0912, 0.2397, 0.2388,-0.0709, 0.153 ]",
drawer-lighting-s0-openvla-ep003,5,close_drawer,"[-0.0492,-0.296 , 0.1056]","[-0.0492,-0.296 , 0.1056, 0.2219, 0.2012,-0.0973, 0.2304]",0.991332,0.052567,0.049785,0.002781,0.914488,0.111796,proceed,"[-0.0492,-0.296 , 0.1056, 0.2219, 0.2012,-0.0973, 0.2304]",
drawer-lighting-s0-openvla-ep003,6,close_drawer,"[-0.4123,-0.4618, 0.1126]","[-0.4123,-0.4618, 0.1126, 0.238 , 0.3321,-0.1997, 0.1981]",0.992616,0.045333,0.043601,0.001732,0.920597,0.10207,proceed,"[-0.4123,-0.4618, 0.1126, 0.238 , 0.3321,-0.1997, 0.1981]",
drawer-lighting-s0-openvla-ep003,7,close_drawer,"[-0.3074,-0.5089, 0.0888]","[-0.3074,-0.5089, 0.0888, 0.3332, 0.2802,-0.1801, 0.254 ]",0.993906,0.041343,0.037156,0.004187,0.927382,0.093289,proceed,"[-0.3074,-0.5089, 0.0888, 0.3332, 0.2802,-0.1801, 0.254 ]",
drawer-lighting-s0-openvla-ep004,0,open_drawer,"[0.3873,0.2832,0.1477]","[ 0.3873, 0.2832, 0.1477, 0.0454,-0.0278, 0.2441, 0.2126]",0.975763,0.117424,0.114099,0.003325,0.863852,0.19486,proceed,"[ 0.3873, 0.2832, 0.1477, 0.0454,-0.0278, 0.2441, 0.2126]",
drawer-lighting-s0-openvla-ep004,1,grasp_block,"[0.434 ,0.2225,0.2223]","[ 0.434 , 0.2225, 0.2223, 0.0765,-0.0409, 0.184 , 0.172 ]",0.980216,0.100403,0.097195,0.003209,0.875605,0.174597,proceed,"[ 0.434 , 0.2225, 0.2223, 0.0765,-0.0409, 0.184 , 0.172 ]",
drawer-lighting-s0-openvla-ep004,2,grasp_block,"[0.1388,0.0552,0.1201]","[0.1388,0.0552,0.1201,0.0959,0.1337,0.0887,0.12  ]",0.985708,0.07862,0.074902,0.003718,0.892527,0.146782,proceed,"[0.1388,0.0552,0.1201,0.0959,0.1337,0.0887,0.12  ]",
drawer-lighting-s0-openvla-ep004,3,place_in_bin,"[0.2179,0.0036,0.1076]","[ 0.2179, 0.0036, 0.1076, 0.1704, 0.0485,-0.0161, 0.2024]",0.987315,0.071352,0.068,0.003352,0.898192,0.137484,proceed,"[ 0.2179, 0.0036, 0.1076, 0.1704, 0.0485,-0.0161, 0.2024]",
drawer-lighting-s0-openvla-ep004,4,place_in_bin,"[-0.1308,-0.2515, 0.1368]","[-0.1308,-0.2515, 0.1368, 0.2098, 0.2276,-0.1346, 0.1693]",0.985371,0.079205,0.076322,0.002884,0.89139,0.148212,proceed,"[-0.1308,-0.2515, 0.1368, 0.2098, 0.2276,-0.1346, 0.1693]",
drawer-lighting-s0-openvla-ep004,5,close_drawer,"[-0.0889,-0.2914, 0.0993]","[-0.0889,-0.2914, 0.0993, 0.2375, 0.1794,-0.165 , 0.2555]",0.987692,0.07049,0.066354,0.004136,0.89958,0.135665,proceed,"[-0.0889,-0.2914, 0.0993, 0.2375, 0.1794,-0.165 , 0.2555]",
drawer-lighting-s0-openvla-ep004,6,close_drawer,"[-0.4036,-0.4464, 0.1621]","[-0.4036,-0.4464, 0.1621, 0.2457, 0.3347,-0.2359, 0.2116]",0.989572,0.06046,0.057959,0.002501,0.906901,0.123329,proceed,"[-0.4036,-0.4464, 0.1621, 0.2457, 0.3347,-0.2359, 0.2116]",
drawer-lighting-s0-openvla-ep004,7,close_drawer,"[-0.3465,-0.5212, 0.0978]","[-0.3465,-0.5212, 0.0978, 0.3188, 0.3371,-0.2359, 0.2368]",0.991402,0.051411,0.049453,0.001958,0.914807,0.110898,proceed,"[-0.3465,-0.5212, 0.0978, 0.3188, 0.3371,-0.2359, 0.2368]",
drawer-lighting-s0-octo-ep000,0,open_drawer,"[0.2574,0.2078,0.024 ]","[ 0.2574, 0.2078, 0.024 ,-0.0133,-0.0521, 0.0938, 0.1139]",0.948752,0.203448,0.202171,0.001277,0.811416,0.290308,pause_reobserve,"[ 0.2574, 0.2078, 0.024 ,-0.0133,-0.0521, 0.0938, 0.1139]",
drawer-lighting-s0-octo-ep000,1,grasp_block,"[0.262 ,0.2128,0.0601]","[ 0.262 , 0.2128, 0.0601, 0.055 ,-0.0108, 0.1068, 0.0991]",0.956343,0.180414,0.179394,0.00102,0.823955,0.266252,pause_reobserve,"[ 0.262 , 0.2128, 0.0601, 0.055 ,-0.0108, 0.1068, 0.0991]",
drawer-lighting-s0-octo-ep000,2,grasp_block,"[0.0779,0.0721,0.0452]","[ 0.0779, 0.0721, 0.0452, 0.0399, 0.0432,-0.0307, 0.0866]",0.966446,0.147658,0.146885,0.000774,0.842936,0.230893,pause_reobserve,"[ 0.0779, 0.0721, 0.0452, 0.0399, 0.0432,-0.0307, 0.0866]",
drawer-lighting-s0-octo-ep000,3,place_in_bin,"[0.0897,0.0859,0.1046]","[ 0.0897, 0.0859, 0.1046, 0.164 , 0.0213,-0.0644, 0.1766]",0.974543,0.119457,0.118575,0.000881,0.860864,0.198864,proceed,"[ 0.0897, 0.0859, 0.1046, 0.164 , 0.0213,-0.0644, 0.1766]",
drawer-lighting-s0-octo-ep000,4,place_in_bin,"[-0.2412,-0.1445, 0.0501]","[-0.2412,-0.1445, 0.0501, 0.1765, 0.1856,-0.1582, 0.0526]",0.978554,0.105985,0.103612,0.002373,0.87105,0.181943,proceed,"[-0.2412,-0.1445, 0.0501, 0.1765, 0.1856,-0.1582, 0.0526]",
drawer-lighting-s0-octo-ep000,5,close_drawer,"[-0.2053,-0.1486, 0.0112]","[-0.2053,-0.1486, 0.0112, 0.1309, 0.1769,-0.2419, 0.0657]",0.982814,0.089979,0.086874,0.003105,0.883207,0.161783,proceed,"[-0.2053,-0.1486, 0.0112, 0.1309, 0.1769,-0.2419, 0.0657]",
drawer-lighting-s0-octo-ep000,6,close_drawer,"[-0.5461,-0.2705, 0.0573]","[-0.5461,-0.2705, 0.0573, 0.227 , 0.2335,-0.2421, 0.1036]",0.984743,0.080582,0.078952,0.00163,0.889307,0.150984,proceed,"[-0.5461,-0.2705, 0.0573, 0.227 , 0.2335,-0.2421, 0.1036]",
drawer-lighting-s0-octo-ep000,7,close_drawer,"[-0.4455,-0.2857, 0.0815]","[-0.4455,-0.2857, 0.0815, 0.2536, 0.2014,-0.3478, 0.0699]",0.988664,0.065143,0.062052,0.003092,0.903278,0.129293,proceed,"[-0.4455,-0.2857, 0.0815, 0.2536, 0.2014,-0.3478, 0.0699]",
drawer-lighting-s0-octo-ep001,0,open_drawer,"[0.2747,0.2086,0.0385]","[ 0.2747, 0.2086, 0.0385, 0.0531,-0.0011, 0.0898, 0.0881]",0.946494,0.211305,0.20871,0.002595,0.80791,0.297743,pause_reobserve,"[ 0.2747, 0.2086, 0.0385, 0.0531,-0.0011, 0.0898, 0.0881]",
drawer-lighting-s0-octo-ep001,1,grasp_block,"[0.2405,0.2003,0.0637]","[ 0.2405, 0.2003, 0.0637, 0.0241,-0.0231, 0.0547, 0.0954]",0.958857,0.173004,0.171558,0.001447,0.828402,0.2581,pause_reobserve,"[ 0.2405, 0.2003, 0.0637, 0.0241,-0.0231, 0.0547, 0.0954]",
drawer-lighting-s0-octo-ep001,2,grasp_block,"[0.0562,0.056 ,0.0253]","[ 0.0562, 0.056 , 0.0253, 0.0823, 0.0526,-0.0043, 0.0774]",0.967755,0.143962,0.142458,0.001504,0.845641,0.22634,pause_reobserve,"[ 0.0562, 0.056 , 0.0253, 0.0823, 0.0526,-0.0043, 0.0774]",
drawer-lighting-s0-octo-ep001,3,place_in_bin,"[0.0758,0.0611,0.0429]","[ 0.0758, 0.0611, 0.0429, 0.0914, 0.0074,-0.0128, 0.0922]",0.973838,0.123632,0.121135,0.002497,0.859177,0.202639,pause_reobserve,"[ 0.0758, 0.0611, 0.0429, 0.0914, 0.0074,-0.0128, 0.0922]",
drawer-lighting-s0-octo-ep001,4,place_in_bin,"[-0.197 ,-0.1147, 0.0497]","[-0.197 ,-0.1147, 0.0497, 0.0879, 0.1505,-0.1221, 0.1473]",0.979257,0.102897,0.100916,0.001982,0.872949,0.1785,proceed,"[-0.197 ,-0.1147, 0.0497, 0.0879, 0.1505,-0.1221, 0.1473]",
drawer-lighting-s0-octo-ep001,5,close_drawer,"[-0.1925,-0.0543, 0.0953]","[-0.1925,-0.0543, 0.0953, 0.1663, 0.0848,-0.2014, 0.1023]",0.983169,0.089931,0.085434,0.004497,0.884298,0.160668,proceed,"[-0.1925,-0.0543, 0.0953, 0.1663, 0.0848,-0.2014, 0.1023]",
drawer-lighting-s0-octo-ep001,6,close_drawer,"[-0.5079,-0.2332, 0.031 ]","[-0.5079,-0.2332, 0.031 , 0.1963, 0.2677,-0.2833, 0.0422]",0.984704,0.084572,0.079117,0.005455,0.889178,0.153108,proceed,"[-0.5079,-0.2332, 0.031 , 0.1963, 0.2677,-0.2833, 0.0422]",
drawer-lighting-s0-octo-ep001,7,close_drawer,"[-0.5658,-0.2287,-0.0928]","[-0.5658,-0.2287,-0.0928, 0.2664, 0.1798,-0.2672, 0.1133]",0.989243,0.063351,0.059448,0.003902,0.90557,0.126105,proceed,"[-0.5658,-0.2287,-0.0928, 0.2664, 0.1798,-0.2672, 0.1133]",
drawer-lighting-s0-octo-ep002,0,open_drawer,"[0.2722,0.2001,0.0192]","[ 0.2722, 0.2001, 0.0192,-0.0163,-0.0213, 0.0993, 0.1014]",0.946818,0.20957,0.207777,0.001793,0.808408,0.296377,pause_reobserve,"[ 0.2722, 0.2001, 0.0192,-0.0163,-0.0213, 0.0993, 0.1014]",
drawer-lighting-s0-octo-ep002,1,grasp_block,"[0.2645,0.1855,0.0492]","[ 0.2645, 0.1855, 0.0492, 0.0189,-0.0092, 0.0596, 0.1468]",0.955689,0.182347,0.181408,0.00094,0.822825,0.268349,pause_reobserve,"[ 0.2645, 0.1855, 0.0492, 0.0189,-0.0092, 0.0596, 0.1468]",
drawer-lighting-s0-octo-ep002,2,grasp_block,"[0.0583,0.0749,0.0214]","[ 0.0583, 0.0749, 0.0214, 0.0528, 0.0661,-0.0113, 0.0886]",0.967452,0.146023,0.143489,0.002534,0.845008,0.228004,pause_reobserve,"[ 0.0583, 0.0749, 0.0214, 0.0528, 0.0661,-0.0113, 0.0886]",
drawer-lighting-s0-octo-ep002,3,place_in_bin,"[0.0798,0.0889,0.0485]","[ 0.0798, 0.0889, 0.0485, 0.0512, 0.0222,-0.011 , 0.1115]",0.973172,0.125482,0.123533,0.001948,0.857608,0.205133,pause_reobserve,"[ 0.0798, 0.0889, 0.0485, 0.0512, 0.0222,-0.011 , 0.1115]",
drawer-lighting-s0-octo-ep002,4,place_in_bin,"[-0.1952,-0.0628, 0.083 ]","[-0.1952,-0.0628, 0.083 , 0.1914, 0.1719,-0.1187, 0.1238]",0.978436,0.107474,0.104065,0.003409,0.870733,0.183004,proceed,"[-0.1952,-0.0628, 0.083 , 0.1914, 0.1719,-0.1187, 0.1238]",
drawer-lighting-s0-octo-ep002,5,close_drawer,"[-0.2408,-0.1231, 0.0721]","[-0.2408,-0.1231, 0.0721, 0.1603, 0.1066,-0.1443, 0.1533]",0.982511,0.091239,0.088098,0.003141,0.882286,0.163333,proceed,"[-0.2408,-0.1231, 0.0721, 0.1603, 0.1066,-0.1443, 0.1533]",
drawer-lighting-s0-octo-ep002,6,close_drawer,"[-0.4904,-0.3085, 0.1444]","[-0.4904,-0.3085, 0.1444, 0.0985, 0.302 ,-0.2188, 0.0338]",0.984834,0.083576,0.078574,0.005002,0.889605,0.152183,proceed,"[-0.4904,-0.3085, 0.1444, 0.0985, 0.302 ,-0.2188, 0.0338]",
drawer-lighting-s0-octo-ep002,7,close_drawer,"[-0.5063,-0.3239, 0.0103]","[-0.5063,-0.3239, 0.0103, 0.2579, 0.2189,-0.2776, 0.0281]",0.989253,0.063671,0.059406,0.004265,0.905607,0.126228,proceed,"[-0.5063,-0.3239, 0.0103, 0.2579, 0.2189,-0.2776, 0.0281]",
drawer-lighting-s0-octo-ep003,0,open_drawer,"[0.238 ,0.1913,0.0277]","[0.238 ,0.1913,0.0277,0.0365,0.0237,0.0867,0.0843]",0.952472,0.193282,0.191169,0.002113,0.817406,0.279234,pause_reobserve,"[0.238 ,0.1913,0.0277,0.0365,0.0237,0.0867,0.0843]",
drawer-lighting-s0-octo-ep003,1,grasp_block,"[0.2496,0.2016,0.0807]","[ 0.2496, 0.2016, 0.0807, 0.0498,-0.0049, 0.0797, 0.123 ]",0.959856,0.169659,0.168399,0.00126,0.830216,0.254613,pause_reobserve,"[ 0.2496, 0.2016, 0.0807, 0.0498,-0.0049, 0.0797, 0.123 ]",
drawer-lighting-s0-octo-ep003,2,grasp_block,"[0.0158,0.0657,0.0278]","[0.0158,0.0657,0.0278,0.0594,0.0424,0.0033,0.0867]",0.967178,0.145718,0.144417,0.001302,0.84444,0.228419,pause_reobserve,"[0.0158,0.0657,0.0278,0.0594,0.0424,0.0033,0.0867]",
drawer-lighting-s0-octo-ep003,3,place_in_bin,"[0.0909,0.0766,0.0817]","[ 0.0909, 0.0766, 0.0817, 0.0553, 0.0465,-0.046 , 0.1237]",0.971766,0.132004,0.128545,0.003459,0.854371,0.211631,pause_reobserve,"[ 0.0909, 0.0766, 0.0817, 0.0553, 0.0465,-0.046 , 0.1237]",
drawer-lighting-s0-octo-ep003,4,place_in_bin,"[-0.2166,-0.1295, 0.0296]","[-0.2166,-0.1295, 0.0296, 0.1944, 0.1535,-0.172 , 0.1297]",0.97832,0.107257,0.104505,0.002752,0.870425,0.183204,proceed,"[-0.2166,-0.1295, 0.0296, 0.1944, 0.1535,-0.172 , 0.1297]",
drawer-lighting-s0-octo-ep003,5,close_drawer,"[-0.2028,-0.0872, 0.0299]","[-0.2028,-0.0872, 0.0299, 0.1382, 0.0699,-0.1899, 0.1017]",0.98185,0.09391,0.090747,0.003162,0.880311,0.166643,proceed,"[-0.2028,-0.0872, 0.0299, 0.1382, 0.0699,-0.1899, 0.1017]",
drawer-lighting-s0-octo-ep003,6,close_drawer,"[-0.5864,-0.2723, 0.0677]","[-0.5864,-0.2723, 0.0677, 0.2317, 0.2945,-0.2414, 0.0267]",0.984261,0.085937,0.080955,0.004982,0.887741,0.155228,proceed,"[-0.5864,-0.2723, 0.0677, 0.2317, 0.2945,-0.2414, 0.0267]",
drawer-lighting-s0-octo-ep003,7,close_drawer,"[-0.5184,-0.2637, 0.0732]","[-0.5184,-0.2637, 0.0732, 0.2523, 0.2284,-0.3175, 0.0383]",0.988061,0.067699,0.064732,0.002967,0.900962,0.132888,proceed,"[-0.5184,-0.2637, 0.0732, 0.2523, 0.2284,-0.3175, 0.0383]",
drawer-lighting-s0-octo-ep004,0,open_drawer,"[0.2431,0.1902,0.0573]","[ 0.2431, 0.1902, 0.0573, 0.0177,-0.0314, 0.0769, 0.1114]",0.948781,0.202943,0.202087,0.000856,0.811461,0.290011,pause_reobserve,"[ 0.2431, 0.1902, 0.0573, 0.0177,-0.0314, 0.0769, 0.1114]",
drawer-lighting-s0-octo-ep004,1,grasp_block,"[0.2445,0.1671,0.055 ]","[ 0.2445, 0.1671, 0.055 , 0.0776,-0.0543, 0.0674, 0.1302]",0.960355,0.168983,0.166811,0.002172,0.831133,0.253359,pause_reobserve,"[ 0.2445, 0.1671, 0.055 , 0.0776,-0.0543, 0.0674, 0.1302]",
drawer-lighting-s0-octo-ep004,2,grasp_block,"[0.0717,0.0801,0.0582]","[ 0.0717, 0.0801, 0.0582, 0.0674, 0.0677,-0.0443, 0.1095]",0.966032,0.14974,0.148274,0.001466,0.842093,0.232777,pause_reobserve,"[ 0.0717, 0.0801, 0.0582, 0.0674, 0.0677,-0.0443, 0.1095]",
drawer-lighting-s0-octo-ep004,3,place_in_bin,"[0.0754,0.1021,0.0606]","[ 0.0754, 0.1021, 0.0606, 0.1597, 0.031 ,-0.0479, 0.16  ]",0.975087,0.118707,0.116586,0.002121,0.862186,0.197168,proceed,"[ 0.0754, 0.1021, 0.0606, 0.1597, 0.031 ,-0.0479, 0.16  ]",
drawer-lighting-s0-octo-ep004,4,place_in_bin,"[-0.2231,-0.1721, 0.0379]","[-0.2231,-0.1721, 0.0379, 0.1834, 0.2279,-0.094 , 0.1055]",0.979871,0.101613,0.098538,0.003076,0.874642,0.176165,proceed,"[-0.2231,-0.1721, 0.0379, 0.1834, 0.2279,-0.094 , 0.1055]",
drawer-lighting-s0-octo-ep004,5,close_drawer,"[-0.1463,-0.1166, 0.0059]","[-0.1463,-0.1166, 0.0059, 0.1066, 0.1435,-0.1862, 0.1221]",0.983482,0.087291,0.084156,0.003135,0.885272,0.158374,proceed,"[-0.1463,-0.1166, 0.0059, 0.1066, 0.1435,-0.1862, 0.1221]",
drawer-lighting-s0-octo-ep004,6,close_drawer,"[-0.494 ,-0.3568, 0.005 ]","[-0.494 ,-0.3568, 0.005 , 0.1988, 0.1675,-0.3257,-0.0083]",0.985611,0.078152,0.075312,0.002841,0.892198,0.146878,proceed,"[-0.494 ,-0.3568, 0.005 , 0.1988, 0.1675,-0.3257,-0.0083]",
drawer-lighting-s0-octo-ep004,7,close_drawer,"[-0.4619,-0.3193, 0.0516]","[-0.4619,-0.3193, 0.0516, 0.2144, 0.2421,-0.226 , 0.128 ]",0.989236,0.061828,0.059481,0.002346,0.905541,0.125373,proceed,"[-0.4619,-0.3193, 0.0516, 0.2144, 0.2421,-0.226 , 0.128 ]",
